"YEAR","MONTH","CODE","ACE_CODE","NAME","ID","TTF_FLT","DURATION","CFMU_DURATION","CFMU_DISTANCE","UNIT_KIND","UNIT_PRU_TYPE","TDM_15_ERT_NA","TDM_15","TDF_15_ERT_NA","TDF_15_ARP","TDF_15"
2014,11,"DNA","DNA","DSNA",10,196763,8840614,8840614,56244498,"ANSP","ANSP",6418,25866,268,551,819
2015,3,"DNA","DNA","DSNA",10,216855,9775169,9775169,61666309,"ANSP","ANSP",35678,43733,1373,189,1562
2014,12,"DNA","DNA","DSNA",10,196015,8879713,8879713,56280459,"ANSP","ANSP",32099,44765,1041,423,1464
2015,4,"DNA","DNA","DSNA",10,238937,10747503,10747503,69113487,"ANSP","ANSP",444212,473808,7838,598,8436
2014,8,"EANS","EANS","EANS",11,18915,377610,377610,2567053,"ANSP","ANSP",1270,1270,51,,51
2015,3,"EANS","EANS","EANS",11,14933,313047,313047,2101529,"ANSP","ANSP",0,0,0,0,0
2015,2,"EANS","EANS","EANS",11,12760,268123,268123,1802346,"ANSP","ANSP",19,19,1,0,1
2015,1,"EANS","EANS","EANS",11,14161,300539,300539,2019712,"ANSP","ANSP",0,0,0,0,0
2014,2,"EANS","EANS","EANS",11,12125,262754,262754,1716017,"ANSP","ANSP",0,0,0,,0
2014,3,"EANS","EANS","EANS",11,14167,303497,303497,1990024,"ANSP","ANSP",184,184,8,,8
2014,1,"EANS","EANS","EANS",11,13612,290840,290840,1950194,"ANSP","ANSP",20,20,1,,1
2014,4,"EANS","EANS","EANS",11,14932,306914,306914,2079865,"ANSP","ANSP",96,96,5,,5
2014,6,"EANS","EANS","EANS",11,17462,350894,350894,2393912,"ANSP","ANSP",385,385,18,,18
2014,5,"EANS","EANS","EANS",11,17020,344241,344241,2330720,"ANSP","ANSP",108,108,6,,6
2014,7,"EANS","EANS","EANS",11,18505,369591,369591,2528438,"ANSP","ANSP",610,610,27,,27
2014,10,"EANS","EANS","EANS",11,17063,352299,352299,2363267,"ANSP","ANSP",0,0,0,,0
2014,9,"EANS","EANS","EANS",11,18061,360548,360548,2470608,"ANSP","ANSP",769,769,35,,35
2014,11,"EANS","EANS","EANS",11,14622,306789,306789,2067397,"ANSP","ANSP",179,179,9,,9
2014,12,"EANS","EANS","EANS",11,14017,299249,299249,2008521,"ANSP","ANSP",97,97,4,,4
2015,4,"EANS","EANS","EANS",11,15525,327704,327704,2190589,"ANSP","ANSP",0,0,0,,0
2014,2,"ENAV","ENAV","ENAV",12,89786,3534535,3534535,21724964,"ANSP","ANSP",0,748,0,29,29
2014,3,"ENAV","ENAV","ENAV",12,106278,4196664,4196664,25964846,"ANSP","ANSP",0,4486,0,131,131
2015,2,"ENAV","ENAV","ENAV",12,91875,3523857,3523857,21699048,"ANSP","ANSP",512,11772,11,294,305
