"YEAR","MONTH_NUM","ANSP_NAME","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2014,4,"Belgocontrol",47505,4463092.204,541816,429,270,8963,7630,429,270,8963,7630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"NAV Portugal (Continental)",41352,21203540.592,1705133,485,221,8354,6097,189,103,3711,3056,296,118,4643,3041,0,4643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"BULATSA",50698,13215079.344,982205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"HCAA",45738,24578067.94,1988375,29,17,515,447,29,17,515,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,"NAV Portugal (Santa Maria)",10463,16225992.42,1098233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"ENAIRE",141090,74663150.352,6446458,1341,791,35734,31058,486,333,18210,16909,855,458,17524,14149,0,11813,0,0,0,0,0,0,0,0,0,0,0,0,5711,0
2014,4,"DCAC Cyprus",24611,9276343.9,713001,5818,3581,130203,110810,48,41,1141,1069,5770,3540,129062,109741,0,102147,0,0,0,0,404,0,0,0,0,25259,1252,0,0,0
2014,4,"HungaroControl",50523,12045796.92,936678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"SAKAERONAVIGATSIA",8441,2873200.208,216342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"SMATSA",38372,11197914.28,865002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,"LGS",19193,4353594.556,357420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
