"YEAR","MONTH_NUM","ANSP_NAME","ENTITY_NAME","ENTITY_TYPE","ENTITY_CODE","FLT_1","DIST_KM_1","DUR_MIN_1","DLY_FLT_1","DLY_FLT_15_1","DLY_1","DLY_15_1","APT_DLY_FLT_1","APT_DLY_FLT_15_1","APT_DLY_1","APT_DLY_15_1","ERT_DLY_FLT_1","ERT_DLY_FLT_15_1","ERT_DLY_1","ERT_DLY_15_1","ERT_DLY_A_1","ERT_DLY_C_1","ERT_DLY_D_1","ERT_DLY_E_1","ERT_DLY_G_1","ERT_DLY_I_1","ERT_DLY_M_1","ERT_DLY_N_1","ERT_DLY_O_1","ERT_DLY_P_1","ERT_DLY_R_1","ERT_DLY_S_1","ERT_DLY_T_1","ERT_DLY_V_1","ERT_DLY_W_1","ERT_DLY_NA_1"
2015,3,"PANSA","KATOWICE TOWER","APP","EPKTCTR",1518,15066.02,2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","HELSINKI/VANTAA APP","APP","EFHKTMA",14631,1099399.056,144011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DSNA","CLERMONT-FERRAND","APP","LFLCTMA",2509,164266.844,34377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAV","FIRENZE","APP","LIRQCTR",2538,144283.764,23431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ROMATSA","ARAD APPROCH","APP","LRARTMA",971,75661.608,10906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"SMATSA","PODGORCIA TMA","APP","LYPGTMA",1358,73504.028,9791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NAV Portugal (Santa Maria)","Santa Maria","OAC","LPPOOAC",10613,18724021.876,1249447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Avinor (Continental)","SOGNDAL AFIS","FIS","ENSGCTR",462,12047.26,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAIRE","ALMERIA APPROACH","APP","LEAMTMA",615,34143.472,5179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"MATS","LUQA APP","APP","LMMLTMA",2767,257146.496,45502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAIRE","IBIZA","APP","LEIBCTR",1449,16345.752,3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NATS (Continental)","BIRMINGHAM","APP","EGBBTMA",7862,172080.432,42673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"BULATSA","SOFIA APP","APP","LBSFTMA",3535,287995.26,37906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DCAC Cyprus","LARNACA APP","APP","LCLKCTR",2518,122167.18,16428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"IAA","CORK TOWER","APP","EICKCTR",1573,43318.28,11379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DSNA","METZ-NANCY APP","APP","LFJLTMA",654,27898.528,6142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NAVIAIR","EKVJ  APP","APP","EKVJTMA",29,287.06,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"EANS","TALLINN APPROACH","APP","EETNTMA",3141,122676.48,21413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","SAVONLINNA AFIS","FIS","EFSACTR",96,3111.36,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAV","PALERMO APPROACH","APP","LICJCTR",2858,202719.92,30513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAV","LAMPEDUSA AFIS","FIS","LICDCTR",207,5041.144,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LVNL","ROTTERDAM TOWER","APP","EHRDCTR",2089,37119.636,11567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"PANSA","POZNAN APP","APP","EPPOTMA",3761,415655.472,49773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Finavia","KOKKOLA-PIETARSAARI","APP","EFKKCTR",289,10476.764,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DSNA","BEAUVAIS APP","APP","LFOBTMA",1084,28439.312,4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Skyguide","CNX LSESLFIC","FIS","LSESCTA",4,66.672,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LPS","ZILINA APP","APP","LZZITMA",36,1268.62,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LPS","APPROACH CONTROL","APP","LZIBTMA",1711,81312.06,13862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"PANSA","RZESZOW TOWER","APP","EPRZCTR",371,2807.632,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LVNL","Amsterdam","ACC","EHAAACC",42246,3690091.48,362750,4412,2798,151143,136978,4322,2763,149975,136230,90,35,1168,748,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,"Avinor (Continental)","Stavanger","ACC","ENSVACC",20116,4222858.172,435379,65,31,1011,738,65,31,1011,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,"DCAC Cyprus","Nicosia","ACC","LCCCACC",24011,8915613.192,678024,3042,1772,66762,55682,0,0,0,0,3042,1772,66762,55682,0,17561,0,0,0,0,5470,0,2339,5840,0,29626,5926,0,0,0
2015,3,"DFS","Langen","ACC","EDFFALL",96100,14077264.98,1710858,1156,470,18336,12651,799,365,13954,10337,357,105,4382,2314,0,2035,0,0,0,0,0,0,0,0,0,1960,0,368,19,0
2015,3,"HCAA","Athinai+Macedonia","ACC","LGACC",38834,21039401.536,1589961,17,9,351,284,17,9,351,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,"ENAIRE","SAN SEBASTIAN","APP","LESOTMA",469,10763.824,1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"LFV","STOCKHOLM APPROACH","APP","ESSATMA",24587,1422432.304,189867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Oro Navigacija","Vilnius","ACC","EYVCACC",16662,2638103.624,214693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Skyguide","APPROACH ZURICH","APP","LSZHTMA",21303,1052173.056,200357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DSNA","LIMOGES APP","APP","LFBLTMA",1716,106256.648,20824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DHMI","SINOP","APP","LTCMTMA",74,1700.136,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"PANSA","WARSZAWA APPROACH","APP","EPWATMA",13132,1799610.624,206688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAV","ANCONA APP","APP","LIPYCTR",770,30098.704,6838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"NAV Portugal (Santa Maria)","SANTA MARIA APP","APP","LPAZTMA",1650,253725.852,28834,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"MoldATSA","CHISINAU APPROACH","APP","LUKKTMA",1510,48357.572,6850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"EANS","TARTU TOWER","APP","EETUCTR",75,3109.508,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"SMATSA","KRALJEVO TMA","APP","LYKVTMA",35,1029.712,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Avinor (Continental)","KIRKENES TOWER","APP","ENKRTMA",1050,37673.384,8862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"DSNA","PAU APPROACH","APP","LFBPTMA",1773,119431.776,20828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"Oro Navigacija","KAUNAS FIC UNIT","FIS","EYKACTA",31,761.172,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3,"ENAV","PERUGIA","APP","LIRZCTR",254,8250.66,1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
